dest_country,VerwerkingsMethode,amount
Drenthe,vE BIOLOGISCH VERWERKEN,1886.84
Flevoland,vA BEWAREN,1740.4769999999999
Flevoland,vD CHEMISCH VERWERKEN,3287.1560000000004
Friesland,vA BEWAREN,814.004
Friesland,vB INZETTEN,252.27100000000002
Friesland,vC FYSISCH VERWERKEN,3492.5939999999996
Gelderland,vA BEWAREN,2235.6690000000003
Gelderland,vB INZETTEN,559.54
Gelderland,vC FYSISCH VERWERKEN,154.69
Gelderland,vD CHEMISCH VERWERKEN,0.3
Gelderland,vE BIOLOGISCH VERWERKEN,3763.34
Groningen,vA BEWAREN,8.314
Groningen,vE BIOLOGISCH VERWERKEN,3722.08
Limburg,vD CHEMISCH VERWERKEN,7.12
Limburg,vE BIOLOGISCH VERWERKEN,103.36
Noord-Brabant,vA BEWAREN,8031.99
Noord-Brabant,vB INZETTEN,133.46
Noord-Brabant,vC FYSISCH VERWERKEN,5174.538000000003
Noord-Brabant,vD CHEMISCH VERWERKEN,958.78
Noord-Brabant,vE BIOLOGISCH VERWERKEN,3232.0299999999997
Noord-Brabant,vF VERBRANDEN,1110.12
Noord-Holland,vA BEWAREN,824.9780000000001
Noord-Holland,vB INZETTEN,4775.02
Noord-Holland,vD CHEMISCH VERWERKEN,12435.880000000001
Noord-Holland,vE BIOLOGISCH VERWERKEN,1294.59
Noord-Holland,vF VERBRANDEN,50.30000000000001
Overijssel,vB INZETTEN,9291.146999999999
Overijssel,vC FYSISCH VERWERKEN,25.86
Overijssel,vE BIOLOGISCH VERWERKEN,4154.780000000001
Utrecht,vA BEWAREN,34.912000000000006
Utrecht,vC FYSISCH VERWERKEN,1426.7549999999999
Utrecht,vE BIOLOGISCH VERWERKEN,6555.75
Zuid-Holland,vA BEWAREN,3397.1239999999993
Zuid-Holland,vB INZETTEN,0.82
Zuid-Holland,vC FYSISCH VERWERKEN,842.7999999999998
Zuid-Holland,vE BIOLOGISCH VERWERKEN,1991.0400000000002
Zuid-Holland,vF VERBRANDEN,2.84
Zuid-Holland,vG STORTEN,0.88
